CRIM,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,LSTAT,CAT.MEDV
0.07896,12.83,0,0.437,6.273,6,4.2515,5,398,6.78,1
0.09512,12.83,0,0.437,6.286,45,4.5026,5,398,8.94,1
0.10153,12.83,0,0.437,6.279,74.5,4.0522,5,398,11.97,0
0.08707,12.83,0,0.437,6.14,45.8,4.0905,5,398,10.27,1
0.05646,12.83,0,0.437,6.232,53.7,5.0141,5,398,12.34,1
0.08387,12.83,0,0.437,5.874,36.6,4.5026,5,398,9.1,1
0.04113,4.86,0,0.426,6.727,33.5,5.4007,4,281,5.29,1
0.04462,4.86,0,0.426,6.619,70.4,5.4007,4,281,7.22,1
0.03659,4.86,0,0.426,6.302,32.2,5.4007,4,281,6.72,1
0.03551,4.86,0,0.426,6.167,46.7,5.4007,4,281,7.51,1
0.05059,4.49,0,0.449,6.389,48,4.7794,3,247,9.62,1
0.05735,4.49,0,0.449,6.63,56.1,4.4377,3,247,6.53,1
0.05188,4.49,0,0.449,6.015,45.1,4.4272,3,247,12.86,1
0.07151,4.49,0,0.449,6.121,56.8,3.7476,3,247,8.44,1
0.0566,3.41,0,0.489,7.007,86.3,3.4217,2,270,5.5,1
0.05302,3.41,0,0.489,7.079,63.1,3.4145,2,270,5.7,1
0.04684,3.41,0,0.489,6.417,66.1,3.0923,2,270,8.81,1
0.03932,3.41,0,0.489,6.405,73.9,3.0921,2,270,8.2,1
0.04203,15.04,0,0.464,6.442,53.6,3.6659,4,270,8.16,1
0.02875,15.04,0,0.464,6.211,28.9,3.6659,4,270,6.21,1
0.04294,15.04,0,0.464,6.249,77.3,3.615,4,270,10.59,1
0.12204,2.89,0,0.445,6.625,57.8,3.4952,2,276,6.65,1
0.11504,2.89,0,0.445,6.163,69.6,3.4952,2,276,11.34,1
0.12083,2.89,0,0.445,8.069,76,3.4952,2,276,4.21,1
0.08187,2.89,0,0.445,7.82,36.9,3.4952,2,276,3.57,1
0.0686,2.89,0,0.445,7.416,62.5,3.4952,2,276,6.19,1
0.14866,8.56,0,0.52,6.727,79.9,2.7778,5,384,9.42,1
0.11432,8.56,0,0.52,6.781,71.3,2.8561,5,384,7.67,1
0.22876,8.56,0,0.52,6.405,85.4,2.7147,5,384,10.63,0
0.21161,8.56,0,0.52,6.137,87.4,2.7147,5,384,13.44,0
0.1396,8.56,0,0.52,6.167,90,2.421,5,384,12.33,1
0.13262,8.56,0,0.52,5.851,96.7,2.1069,5,384,16.47,0
0.1712,8.56,0,0.52,5.836,91.9,2.211,5,384,18.66,0
0.13117,8.56,0,0.52,6.127,85.2,2.1224,5,384,14.09,1
0.12802,8.56,0,0.52,6.474,97.1,2.4329,5,384,12.27,0
0.26363,8.56,0,0.52,6.229,91.2,2.5451,5,384,15.55,0
0.10793,8.56,0,0.52,6.195,54.4,2.7778,5,384,13,1
0.10084,10.01,0,0.547,6.715,81.6,2.6775,6,432,10.16,1
0.12329,10.01,0,0.547,5.913,92.9,2.3534,6,432,16.21,0
0.22212,10.01,0,0.547,6.092,95.4,2.548,6,432,17.09,0
0.14231,10.01,0,0.547,6.254,84.2,2.2565,6,432,10.45,0
0.17134,10.01,0,0.547,5.928,88.2,2.4631,6,432,15.76,0
0.13158,10.01,0,0.547,6.176,72.5,2.7301,6,432,12.04,1
0.15098,10.01,0,0.547,6.021,82.6,2.7474,6,432,10.3,0
0.13058,10.01,0,0.547,5.872,73.1,2.4775,6,432,15.37,1
0.14476,10.01,0,0.547,5.731,65.2,2.7592,6,432,13.61,0
0.06899,25.65,0,0.581,5.87,69.7,2.2577,2,188,14.37,1
0.07165,25.65,0,0.581,6.004,84.1,2.1974,2,188,14.27,1
0.09299,25.65,0,0.581,5.961,92.9,2.0869,2,188,17.93,1
0.15038,25.65,0,0.581,5.856,97,1.9444,2,188,25.41,0
0.09849,25.65,0,0.581,5.879,95.8,2.0063,2,188,17.58,0
0.16902,25.65,0,0.581,5.986,88.4,1.9929,2,188,14.81,1
0.38735,25.65,0,0.581,5.613,95.6,1.7572,2,188,27.26,0
0.25915,21.89,0,0.624,5.693,96,1.7883,4,437,17.19,0
0.32543,21.89,0,0.624,6.431,98.8,1.8125,4,437,15.39,0
0.88125,21.89,0,0.624,5.637,94.7,1.9799,4,437,18.34,0
0.34006,21.89,0,0.624,6.458,98.9,2.1185,4,437,12.6,0
1.19294,21.89,0,0.624,6.326,97.7,2.271,4,437,12.26,0
0.59005,21.89,0,0.624,6.372,97.9,2.3274,4,437,11.12,1
0.32982,21.89,0,0.624,5.822,95.4,2.4699,4,437,15.03,0
0.97617,21.89,0,0.624,5.757,98.4,2.346,4,437,17.31,0
0.55778,21.89,0,0.624,6.335,98.2,2.1107,4,437,16.96,0
0.32264,21.89,0,0.624,5.942,93.5,1.9669,4,437,16.9,0
0.35233,21.89,0,0.624,6.454,98.4,1.8498,4,437,14.59,0
0.2498,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.32,0
0.54452,21.89,0,0.624,6.151,97.9,1.6687,4,437,18.46,0
0.2909,21.89,0,0.624,6.174,93.6,1.6119,4,437,24.16,0
1.62864,21.89,0,0.624,5.019,100,1.4394,4,437,34.41,0
3.32105,19.58,1,0.871,5.403,100,1.3216,5,403,26.82,0
4.0974,19.58,0,0.871,5.468,100,1.4118,5,403,26.42,0
2.77974,19.58,0,0.871,4.903,97.8,1.3459,5,403,29.29,0
2.37934,19.58,0,0.871,6.13,100,1.4191,5,403,27.8,0
2.15505,19.58,0,0.871,5.628,100,1.5166,5,403,16.65,0
2.36862,19.58,0,0.871,4.926,95.7,1.4608,5,403,29.53,0
2.33099,19.58,0,0.871,5.186,93.8,1.5296,5,403,28.32,0
2.73397,19.58,0,0.871,5.597,94.9,1.5257,5,403,21.45,0
1.6566,19.58,0,0.871,6.122,97.3,1.618,5,403,14.1,1
1.49632,19.58,0,0.871,5.404,100,1.5916,5,403,13.28,0
1.12658,19.58,1,0.871,5.012,88,1.6102,5,403,12.12,0
2.14918,19.58,0,0.871,5.709,98.5,1.6232,5,403,15.79,0
1.41385,19.58,1,0.871,6.129,96,1.7494,5,403,15.12,0
3.53501,19.58,1,0.871,6.152,82.6,1.7455,5,403,15.02,0
2.44668,19.58,0,0.871,5.272,94,1.7364,5,403,16.14,0
1.22358,19.58,0,0.605,6.943,97.4,1.8773,5,403,4.59,1
1.34284,19.58,0,0.605,6.066,100,1.7573,5,403,6.43,1
1.42502,19.58,0,0.871,6.51,100,1.7659,5,403,7.39,1
1.27346,19.58,1,0.605,6.25,92.6,1.7984,5,403,5.5,1
1.46336,19.58,0,0.605,7.489,90.8,1.9709,5,403,1.73,1
1.83377,19.58,1,0.605,7.802,98.2,2.0407,5,403,1.92,1
1.51902,19.58,1,0.605,8.375,93.9,2.162,5,403,3.32,1
2.24236,19.58,0,0.605,5.854,91.8,2.422,5,403,11.64,1
2.924,19.58,0,0.605,6.101,93,2.2834,5,403,9.81,1
2.01019,19.58,0,0.605,7.929,96.2,2.0459,5,403,3.7,1
1.80028,19.58,0,0.605,5.877,79.2,2.4259,5,403,12.14,1
2.3004,19.58,0,0.605,6.319,96.1,2.1,5,403,11.1,1
2.44953,19.58,0,0.605,6.402,95.2,2.2625,5,403,11.32,1
1.20742,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.43,0
2.3139,19.58,0,0.605,5.88,97.3,2.3887,5,403,12.03,0
0.13914,4.05,0,0.51,5.572,88.5,2.5961,5,296,14.69,1
0.09178,4.05,0,0.51,6.416,84.1,2.6463,5,296,9.04,1
0.08447,4.05,0,0.51,5.859,68.7,2.7019,5,296,9.64,1
0.06664,4.05,0,0.51,6.546,33.1,3.1323,5,296,5.33,1
0.07022,4.05,0,0.51,6.02,47.2,3.5549,5,296,10.11,1
0.05425,4.05,0,0.51,6.315,73.4,3.3175,5,296,6.29,1
0.06642,4.05,0,0.51,6.86,74.4,2.9153,5,296,6.92,1
0.0578,2.46,0,0.488,6.98,58.4,2.829,3,193,5.04,1
0.06588,2.46,0,0.488,7.765,83.3,2.741,3,193,7.56,1
0.06888,2.46,0,0.488,6.144,62.2,2.5979,3,193,9.45,1
0.09103,2.46,0,0.488,7.155,92.2,2.7006,3,193,4.82,1
0.10008,2.46,0,0.488,6.563,95.6,2.847,3,193,5.68,1
0.08308,2.46,0,0.488,5.604,89.8,2.9879,3,193,13.98,1
0.06047,2.46,0,0.488,6.153,68.8,3.2797,3,193,13.15,1
0.05602,2.46,0,0.488,7.831,53.6,3.1992,3,193,4.45,1
0.07875,3.44,0,0.437,6.782,41.1,3.7886,5,398,6.68,1
0.12579,3.44,0,0.437,6.556,29.1,4.5667,5,398,4.56,1
0.0837,3.44,0,0.437,7.185,38.9,4.5667,5,398,5.39,1
0.09068,3.44,0,0.437,6.951,21.5,6.4798,5,398,5.1,1
0.06911,3.44,0,0.437,6.739,30.8,6.4798,5,398,4.69,1
0.08664,3.44,0,0.437,7.178,26.3,6.4798,5,398,2.87,1
0.02187,2.93,0,0.401,6.8,9.9,6.2196,1,265,5.03,1
0.01439,2.93,0,0.401,6.604,18.8,6.2196,1,265,4.38,1
0.01381,0.46,0,0.422,7.875,32,5.6484,4,255,2.97,1
0.04011,1.52,0,0.404,7.287,34.1,7.309,2,329,4.08,1
0.04666,1.52,0,0.404,7.107,36.6,7.309,2,329,8.61,1
0.03768,1.52,0,0.404,7.274,38.3,7.309,2,329,6.62,1
0.0315,1.47,0,0.403,6.975,15.3,7.6534,3,402,4.56,1
0.01778,1.47,0,0.403,7.135,13.9,7.6534,3,402,4.45,1
0.03445,2.03,0,0.415,6.162,38.4,6.27,2,348,7.43,1
0.02177,2.03,0,0.415,7.61,15.7,6.27,2,348,3.11,1
0.0351,2.68,0,0.4161,7.853,33.2,5.118,4,224,3.81,1
0.02009,2.68,0,0.4161,8.034,31.9,5.118,4,224,2.88,1
0.13642,10.59,0,0.489,5.891,22.3,3.9454,4,277,10.87,1
0.22969,10.59,0,0.489,6.326,52.5,4.3549,4,277,10.97,1
0.25199,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.06,1
0.13587,10.59,1,0.489,6.064,59.1,4.2392,4,277,14.66,1
0.43571,10.59,1,0.489,5.344,100,3.875,4,277,23.09,0
0.17446,10.59,1,0.489,5.96,92.1,3.8771,4,277,17.27,1
0.37578,10.59,1,0.489,5.404,88.6,3.665,4,277,23.98,0
0.21719,10.59,1,0.489,5.807,53.8,3.6526,4,277,16.03,1
0.14052,10.59,0,0.489,6.375,32.3,3.9454,4,277,9.38,1
0.28955,10.59,0,0.489,5.412,9.8,3.5875,4,277,29.55,1
0.19802,10.59,0,0.489,6.182,42.4,3.9454,4,277,9.47,1
0.0456,13.89,1,0.55,5.888,56,3.1121,5,276,13.51,1
0.07013,13.89,0,0.55,6.642,85.1,3.4211,5,276,9.69,1
0.11069,13.89,1,0.55,5.951,93.8,2.8893,5,276,17.92,1
0.11425,13.89,1,0.55,6.373,92.4,3.3633,5,276,10.5,1
0.35809,6.2,1,0.507,6.951,88.5,2.8617,8,307,9.71,1
0.40771,6.2,1,0.507,6.164,91.3,3.048,8,307,21.46,1
0.62356,6.2,1,0.507,6.879,77.7,3.2721,8,307,9.93,1
0.6147,6.2,0,0.507,6.618,80.8,3.2721,8,307,7.6,1
0.31533,6.2,0,0.504,8.266,78.3,2.8944,8,307,4.14,1
0.52693,6.2,0,0.504,8.725,83,2.8944,8,307,4.63,1
0.38214,6.2,0,0.504,8.04,86.5,3.2157,8,307,3.13,1
0.41238,6.2,0,0.504,7.163,79.9,3.2157,8,307,6.36,1
0.29819,6.2,0,0.504,7.686,17,3.3751,8,307,3.92,1
0.44178,6.2,0,0.504,6.552,21.4,3.3751,8,307,3.76,1
0.537,6.2,0,0.504,5.981,68.1,3.6715,8,307,11.65,1
0.46296,6.2,0,0.504,7.412,76.9,3.6715,8,307,5.25,1
0.57529,6.2,0,0.507,8.337,73.3,3.8384,8,307,2.47,1
0.33147,6.2,0,0.507,8.247,70.4,3.6519,8,307,3.95,1
0.44791,6.2,1,0.507,6.726,66.5,3.6519,8,307,8.05,1
0.33045,6.2,0,0.507,6.086,61.5,3.6519,8,307,10.88,1
0.52058,6.2,1,0.507,6.631,76.5,4.148,8,307,9.54,1
0.51183,6.2,0,0.507,7.358,71.6,4.148,8,307,4.73,1
0.08244,4.93,0,0.428,6.481,18.5,6.1899,6,300,6.36,1
0.09252,4.93,0,0.428,6.606,42.2,6.1899,6,300,7.37,1
0.11329,4.93,0,0.428,6.897,54.3,6.3361,6,300,11.38,1
0.10612,4.93,0,0.428,6.095,65.1,6.3361,6,300,12.4,1
0.1029,4.93,0,0.428,6.358,52.9,7.0355,6,300,11.22,1
0.12757,4.93,0,0.428,6.393,7.8,7.0355,6,300,5.19,1
0.20608,5.86,0,0.431,5.593,76.5,7.9549,7,330,12.5,0
0.19133,5.86,0,0.431,5.605,70.2,7.9549,7,330,18.46,0
0.33983,5.86,0,0.431,6.108,34.9,8.0555,7,330,9.16,1
0.19657,5.86,0,0.431,6.226,79.2,8.0555,7,330,10.15,1
0.16439,5.86,0,0.431,6.433,49.1,7.8265,7,330,9.52,1
0.19073,5.86,0,0.431,6.718,17.5,7.8265,7,330,6.56,1
0.1403,5.86,0,0.431,6.487,13,7.3967,7,330,5.9,1
0.21409,5.86,0,0.431,6.438,8.9,7.3967,7,330,3.59,1
0.08221,5.86,0,0.431,6.957,6.8,8.9067,7,330,3.53,1
0.36894,5.86,0,0.431,8.259,8.4,8.9067,7,330,3.54,1
0.04819,3.64,0,0.392,6.108,32,9.2203,1,315,6.57,1
0.03548,3.64,0,0.392,5.876,19.1,9.2203,1,315,9.25,1
0.01538,3.75,0,0.394,7.454,34.2,6.3361,3,244,3.11,1
0.61154,3.97,0,0.647,8.704,86.9,1.801,5,264,5.12,1
0.66351,3.97,0,0.647,7.333,100,1.8946,5,264,7.79,1
0.65665,3.97,0,0.647,6.842,100,2.0107,5,264,6.9,1
0.54011,3.97,0,0.647,7.203,81.8,2.1121,5,264,9.59,1
0.53412,3.97,0,0.647,7.52,89.4,2.1398,5,264,7.26,1
0.52014,3.97,0,0.647,8.398,91.5,2.2885,5,264,5.91,1
0.82526,3.97,0,0.647,7.327,94.5,2.0788,5,264,11.25,1
0.55007,3.97,0,0.647,7.206,91.6,1.9301,5,264,8.1,1
0.76162,3.97,0,0.647,5.56,62.8,1.9865,5,264,10.45,1
0.7857,3.97,0,0.647,7.014,84.6,2.1329,5,264,14.79,1
0.57834,3.97,0,0.575,8.297,67,2.4216,5,264,7.44,1
0.5405,3.97,0,0.575,7.47,52.6,2.872,5,264,3.16,1
0.09065,6.96,1,0.464,5.92,61.5,3.9175,3,223,13.65,1
0.29916,6.96,0,0.464,5.856,42.1,4.429,3,223,13,1
0.16211,6.96,0,0.464,6.24,16.3,4.429,3,223,6.59,1
0.1146,6.96,0,0.464,6.538,58.7,3.9175,3,223,7.73,1
0.22188,6.96,1,0.464,7.691,51.8,4.3665,3,223,6.58,1
0.05644,6.41,1,0.447,6.758,32.9,4.0776,4,254,3.53,1
0.09604,6.41,0,0.447,6.854,42.8,4.2673,4,254,2.98,1
0.10469,6.41,1,0.447,7.267,49,4.7872,4,254,6.05,1
0.06127,6.41,1,0.447,6.826,27.6,4.8628,4,254,4.16,1
0.07978,6.41,0,0.447,6.482,32.1,4.1403,4,254,7.19,1
0.21038,3.33,0,0.4429,6.812,32.2,4.1007,5,216,4.85,1
0.03578,3.33,0,0.4429,7.82,64.5,4.6947,5,216,3.76,1
0.03705,3.33,0,0.4429,6.968,37.2,5.2447,5,216,4.59,1
0.06129,3.33,1,0.4429,7.645,49.7,5.2119,5,216,3.01,1
0.01501,1.21,1,0.401,7.923,24.8,5.885,1,198,3.16,1
0.00906,2.97,0,0.4,7.088,20.8,7.3073,1,285,7.85,1
0.01096,2.25,0,0.389,6.453,31.9,7.3073,1,300,8.23,1
0.01965,1.76,0,0.385,6.23,31.5,9.0892,1,241,12.93,1
0.03871,5.32,0,0.405,6.209,31.3,7.3172,6,293,7.14,1
0.0459,5.32,0,0.405,6.315,45.6,7.3172,6,293,7.6,1
0.04297,5.32,0,0.405,6.565,22.9,7.3172,6,293,9.51,1
0.03502,4.95,0,0.411,6.861,27.9,5.1167,4,245,3.33,1
0.07886,4.95,0,0.411,7.148,27.7,5.1167,4,245,3.56,1
0.03615,4.95,0,0.411,6.63,23.4,5.1167,4,245,4.7,1
0.08265,13.92,0,0.437,6.127,18.4,5.5027,4,289,8.58,1
0.08199,13.92,0,0.437,6.009,42.3,5.5027,4,289,10.4,1
0.12932,13.92,0,0.437,6.678,31.1,5.9604,4,289,6.27,1
0.05372,13.92,0,0.437,6.549,51,5.9604,4,289,7.39,1
0.14103,13.92,0,0.437,5.79,58,6.32,4,289,15.84,1
0.06466,2.24,0,0.4,6.345,20.1,7.8278,5,358,4.97,1
0.05561,2.24,0,0.4,7.041,10,7.8278,5,358,4.74,1
0.04417,2.24,0,0.4,6.871,47.4,7.8278,5,358,6.07,1
0.03537,6.09,0,0.433,6.59,40.4,5.4917,7,329,9.5,1
0.09266,6.09,0,0.433,6.495,18.4,5.4917,7,329,8.67,1
0.1,6.09,0,0.433,6.982,17.7,5.4917,7,329,4.86,1
0.05515,2.18,0,0.472,7.236,41.1,4.022,7,222,6.93,1
0.05479,2.18,0,0.472,6.616,58.1,3.37,7,222,8.93,1
0.07503,2.18,0,0.472,7.42,71.9,3.0992,7,222,6.47,1
0.04932,2.18,0,0.472,6.849,70.3,3.1827,7,222,7.53,1
0.49298,9.9,0,0.544,6.635,82.5,3.3175,4,304,4.54,1
0.3494,9.9,0,0.544,5.972,76.7,3.1025,4,304,9.97,1
2.63548,9.9,0,0.544,4.973,37.8,2.5194,4,304,12.64,0
0.79041,9.9,0,0.544,6.122,52.8,2.6403,4,304,5.98,1
0.26169,9.9,0,0.544,6.023,90.4,2.834,4,304,11.72,0
0.26938,9.9,0,0.544,6.266,82.8,3.2628,4,304,7.9,1
0.3692,9.9,0,0.544,6.567,87.3,3.6023,4,304,9.28,1
0.25356,9.9,0,0.544,5.705,77.7,3.945,4,304,11.5,0
0.31827,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.33,0
0.24522,9.9,0,0.544,5.782,71.7,4.0317,4,304,15.94,0
0.40202,9.9,0,0.544,6.382,67.2,3.5325,4,304,10.36,1
0.47547,9.9,0,0.544,6.113,58.8,4.0019,4,304,12.73,1
0.1676,7.38,0,0.493,6.426,52.3,4.5404,5,287,7.2,1
0.18159,7.38,0,0.493,6.376,54.3,4.5404,5,287,6.87,1
0.35114,7.38,0,0.493,6.041,49.9,4.7211,5,287,7.7,1
0.28392,7.38,0,0.493,5.708,74.3,4.7211,5,287,11.74,0
0.34109,7.38,0,0.493,6.415,40.1,4.7211,5,287,6.12,1
0.19186,7.38,0,0.493,6.431,14.7,5.4159,5,287,5.08,1
0.30347,7.38,0,0.493,6.312,28.9,5.4159,5,287,6.15,1
0.24103,7.38,0,0.493,6.083,43.7,5.4159,5,287,12.79,1
0.06617,3.24,0,0.46,5.868,25.8,5.2146,4,430,9.97,0
0.06724,3.24,0,0.46,6.333,17.2,5.2146,4,430,7.34,1
0.04544,3.24,0,0.46,6.144,32.2,5.8736,4,430,9.09,0
0.05023,6.06,0,0.4379,5.706,28.4,6.6407,1,304,12.43,0
0.03466,6.06,0,0.4379,6.031,23.3,6.6407,1,304,7.83,0
0.05083,5.19,0,0.515,6.316,38.1,6.4584,5,224,5.68,1
0.03738,5.19,0,0.515,6.31,38.5,6.4584,5,224,6.75,1
0.03961,5.19,0,0.515,6.037,34.5,5.9853,5,224,8.01,1
0.03427,5.19,0,0.515,5.869,46.3,5.2311,5,224,9.8,0
0.03041,5.19,0,0.515,5.895,59.6,5.615,5,224,10.56,0
0.03306,5.19,0,0.515,6.059,37.3,4.8122,5,224,8.51,1
0.05497,5.19,0,0.515,5.985,45.4,4.8122,5,224,9.74,0
0.06151,5.19,0,0.515,5.968,58.5,4.8122,5,224,9.29,0
0.01301,1.52,0,0.442,7.241,49.3,7.0379,1,284,5.49,1
0.02498,1.89,0,0.518,6.54,59.7,6.2669,1,422,8.65,0
0.02543,3.78,0,0.484,6.696,56.4,5.7321,5,370,7.18,1
0.03049,3.78,0,0.484,6.874,28.1,6.4654,5,370,4.61,1
0.03113,4.39,0,0.442,6.014,48.5,8.0136,3,352,10.53,0
0.06162,4.39,0,0.442,5.898,52.3,8.0136,3,352,12.67,0
0.0187,4.15,0,0.429,6.516,27.7,8.5353,4,351,6.36,1
0.01501,2.01,0,0.435,6.635,29.7,8.344,4,280,5.99,1
0.02899,1.25,0,0.429,6.939,34.5,8.7921,1,335,5.89,1
0.06211,1.25,0,0.429,6.49,44.4,8.7921,1,335,5.98,1
0.0795,1.69,0,0.411,6.579,35.9,10.7103,4,411,5.49,1
0.07244,1.69,0,0.411,5.884,18.5,10.7103,4,411,7.79,0
0.01709,2.02,0,0.41,6.728,36.1,12.1265,5,187,4.5,1
0.04301,1.91,0,0.413,5.663,21.9,10.5857,4,334,8.05,0
0.10659,1.91,0,0.413,5.936,19.5,10.5857,4,334,5.57,1
8.98296,18.1,1,0.77,6.212,97.4,2.1222,24,666,17.6,0
3.8497,18.1,1,0.77,6.395,91,2.5052,24,666,13.27,1
5.20177,18.1,1,0.77,6.127,83.4,2.7227,24,666,11.48,1
4.26131,18.1,0,0.77,6.112,81.3,2.5091,24,666,12.67,1
4.54192,18.1,0,0.77,6.398,88,2.5182,24,666,7.79,1
3.83684,18.1,0,0.77,6.251,91.1,2.2955,24,666,14.19,0
3.67822,18.1,0,0.77,5.362,96.2,2.1036,24,666,10.19,1
4.22239,18.1,1,0.77,5.803,89,1.9047,24,666,14.64,0
3.47428,18.1,1,0.718,8.78,82.9,1.9047,24,666,5.29,1
4.55587,18.1,0,0.718,3.561,87.9,1.6132,24,666,7.12,1
3.69695,18.1,0,0.718,4.963,91.4,1.7523,24,666,14,1
13.5222,18.1,0,0.631,3.863,100,1.5106,24,666,13.33,1
4.89822,18.1,0,0.631,4.97,100,1.3325,24,666,3.26,1
